#{"t_start": 1719614991.6370544, "env_id": "CTFENVMA_sb3"}
r,l,t,c,f,p,a
-1.0,138,2.616453,0,10.839332,2.586831,127_1_3_2_1_1_2_1_0_0_0_0_0_0_
-1.0,212,5.057714,0,3.593763,1.480471,196_0_1_1_4_4_5_1_0_0_0_0_0_0_
-1.0,162,7.04629,0,9.212995,2.697529,149_1_2_4_0_4_1_1_0_0_0_0_0_0_
-1.0,126,8.540595,0,8.684,2.106545,116_2_2_2_1_0_1_2_0_0_0_0_0_0_
-1.0,171,10.639339,0,6.939228,2.175492,157_3_4_2_1_1_1_2_0_0_0_0_0_0_
-1.0,164,12.6102,0,3.695761,2.70475,151_2_1_3_4_1_1_1_0_0_0_0_0_0_
-1.0,140,14.384805,0,1.359586,2.775981,129_2_1_2_2_1_3_0_0_0_0_0_0_0_
-1.0,152,16.237871,0,23.033522,2.547099,140_2_3_3_0_1_1_2_0_0_0_0_0_0_
-1.0,126,17.760374,0,19.87921,2.577547,116_1_1_2_2_1_2_1_0_0_0_0_0_0_
-1.0,122,19.2146,0,25.224167,2.063825,112_3_1_2_2_0_2_0_0_0_0_0_0_0_
-1.0,134,20.835639,0,1.231127,2.14497,123_2_3_2_2_0_1_1_0_0_0_0_0_0_
-1.0,173,23.009851,0,37.589661,2.287192,159_1_4_3_2_2_2_0_0_0_0_0_0_0_
-1.0,140,24.693856,0,25.845293,2.479955,129_1_2_0_2_1_3_2_0_0_0_0_0_0_
-1.0,111,27.977957,0,8.621891,2.484089,102_2_2_2_1_0_0_2_0_0_0_0_0_0_
-1.0,127,29.46743,0,9.049471,2.669223,117_2_1_1_2_2_0_2_0_0_0_0_0_0_
-1.0,141,31.266202,0,10.081008,2.340877,130_2_1_2_1_1_3_1_0_0_0_0_0_0_
-1.0,183,33.479333,0,36.629292,2.10616,168_2_5_2_2_2_1_1_0_0_0_0_0_0_
-1.0,136,35.127343,0,31.676634,1.962184,125_2_2_2_1_1_2_1_0_0_0_0_0_0_
-1.0,127,36.654172,0,16.880043,2.446966,117_1_2_1_1_2_1_2_0_0_0_0_0_0_
-1.0,230,39.501842,0,25.657473,1.186081,212_2_3_3_2_1_3_4_0_0_0_0_0_0_
-1.0,90,40.604472,0,20.984352,2.683958,83_1_1_1_0_2_0_2_0_0_0_0_0_0_
-1.0,124,42.127976,0,13.999285,2.818943,114_0_3_1_2_1_3_0_0_0_0_0_0_0_
-1.0,149,43.923693,0,19.593557,2.373388,137_1_3_2_1_2_1_2_0_0_0_0_0_0_
-1.0,162,46.012676,0,2.103942,2.437203,149_3_2_1_1_3_2_1_0_0_0_0_0_0_
-1.0,109,47.355944,0,1.254554,2.165128,100_2_2_2_1_0_1_1_0_0_0_0_0_0_
-1.0,131,48.954594,0,18.821508,2.473035,121_2_1_1_0_1_2_3_0_0_0_0_0_0_
-1.0,124,50.473032,0,2.711501,2.580841,114_2_2_1_1_2_1_1_0_0_0_0_0_0_
-1.0,119,51.911088,0,24.637112,2.486513,110_1_1_1_2_1_1_2_0_0_0_0_0_0_
-1.0,201,56.298909,0,26.386265,2.415347,185_1_2_1_2_5_5_0_0_0_0_0_0_0_
-1.0,114,57.680589,0,26.528042,2.731042,105_0_2_2_0_3_0_2_0_0_0_0_0_0_
-1.0,126,59.27162,0,15.606226,2.602005,116_1_3_0_2_1_1_2_0_0_0_0_0_0_
-1.0,155,61.222507,0,12.359124,2.608244,143_1_2_3_1_2_3_0_0_0_0_0_0_0_
-1.0,99,62.594285,0,29.923807,2.820587,91_1_1_2_0_1_0_3_0_0_0_0_0_0_
-1.0,114,64.072464,0,23.419748,2.74567,105_1_1_1_1_2_1_2_0_0_0_0_0_0_
-1.0,141,65.915255,0,10.651752,2.707985,130_1_2_0_4_2_1_1_0_0_0_0_0_0_
0.0,671,73.772004,0,48.586861,0.004023,664_0_4_0_0_0_3_0_0_0_0_0_0_0_
0.0,671,81.203184,0,48.586861,0.004023,664_0_4_0_0_0_3_0_0_0_0_0_0_0_
0.0,671,88.444607,0,48.586861,0.004023,664_0_4_0_0_0_3_0_0_0_0_0_0_0_
0.0,671,95.786566,0,48.586861,0.004023,664_0_4_0_0_0_3_0_0_0_0_0_0_0_
0.0,671,102.987103,0,48.586861,0.004023,664_0_4_0_0_0_3_0_0_0_0_0_0_0_
0.0,671,110.194151,0,48.586861,0.004023,664_0_4_0_0_0_3_0_0_0_0_0_0_0_
0.0,671,117.44217,0,48.586861,0.004023,664_0_4_0_0_0_3_0_0_0_0_0_0_0_
0.0,671,124.658258,0,48.586861,0.004023,664_0_4_0_0_0_3_0_0_0_0_0_0_0_
0.0,671,131.964568,0,48.586861,0.004023,664_0_4_0_0_0_3_0_0_0_0_0_0_0_
0.0,671,139.280932,0,48.586861,0.004023,664_0_4_0_0_0_3_0_0_0_0_0_0_0_
-1.0,128,140.879546,0,32.741718,2.670716,118_0_2_1_3_1_0_3_0_0_0_0_0_0_
-1.0,167,142.943678,0,18.873871,2.429813,154_1_2_1_3_1_2_3_0_0_0_0_0_0_
-1.0,125,144.465199,0,36.75452,2.172622,115_2_2_2_1_0_2_1_0_0_0_0_0_0_
-1.0,148,146.317462,0,0.040238,2.226076,136_2_1_4_1_1_3_0_0_0_0_0_0_0_
-1.0,137,148.117749,0,1.21089,2.121762,126_2_2_1_2_0_3_1_0_0_0_0_0_0_
-1.0,141,149.826769,0,25.886404,2.25803,130_1_1_0_3_1_3_2_0_0_0_0_0_0_
-1.0,109,151.155069,0,25.289803,1.980093,100_3_2_1_1_0_2_0_0_0_0_0_0_0_
-1.0,136,152.808426,0,32.706314,2.306763,125_1_4_2_1_2_1_0_0_0_0_0_0_0_
-1.0,178,156.898534,0,15.13493,2.854059,164_0_3_3_3_2_3_0_0_0_0_0_0_0_
-1.0,123,158.389271,0,3.712487,2.221395,113_2_2_2_0_1_1_2_0_0_0_0_0_0_
-1.0,197,160.794897,0,0.913263,1.651546,181_2_3_4_3_1_2_1_0_0_0_0_0_0_
-1.0,160,162.721848,0,2.141887,2.25461,147_3_3_0_2_1_3_1_0_0_0_0_0_0_
-1.0,158,164.735258,0,28.261017,1.990889,145_2_2_2_4_2_1_0_0_0_0_0_0_0_
-1.0,121,166.20911,0,33.454052,1.967004,111_2_3_1_1_1_2_0_0_0_0_0_0_0_
